d3mIndex,Month,State,County,Rate,County - named after (any)
369,October,South Carolina,Allendale County,10.1,Paul H. Allen
370,August,Iowa,Adams County,2.6,John Adams
371,October,Nebraska,Cherry County,2.3,Samuel A. Cherry
372,December,New Hampshire,Cheshire County,2.7,Cheshire
373,July,Ohio,Fairfield County,4.4,
374,May,Texas,Hemphill County,3.4,John Hemphill
375,August,Virginia,Charlotte County,5.6,Charlotte Harbor
376,February,Kentucky,Letcher County,10.9,Robert P. Letcher
377,May,Indiana,Vanderburgh County,4.3,Henry Vanderburgh
378,February,Pennsylvania,Mifflin County,6.8,Thomas Mifflin
379,March,Minnesota,Houston County,5,Sam Houston
380,July,South Carolina,McCormick County,6.8,Cyrus McCormick
381,August,Arkansas,Pope County,5.5,
382,June,Iowa,Mitchell County,3,Elisha Mitchell
383,April,South Carolina,Greenville County,4.9,
384,March,Virginia,Albemarle County,4,"Willem van Keppel, 2nd Earl of Albemarle"
385,September,Kentucky,Wayne County,6.7,Anthony Wayne
386,April,Louisiana,Vernon Parish,7.5,Mount Vernon
387,September,Alabama,Macon County,7.7,Nathaniel Macon
388,April,North Carolina,Currituck County,5.4,Algonquin
389,October,Kentucky,Knott County,9.5,J. Proctor Knott
390,February,Oklahoma,Grady County,4.1,Henry W. Grady
391,April,Colorado,Las Animas County,5.6,Purgatoire River
392,August,Arkansas,Prairie County,4.4,prairie
393,July,Texas,Coryell County,5.1,
394,August,North Carolina,Onslow County,6.2,Arthur Onslow
395,March,South Carolina,Laurens County,6.7,
396,November,Indiana,Hancock County,4,John Hancock
397,March,Wisconsin,Bayfield County,10.7,Henry Wolsey Bayfield
398,January,Oklahoma,Muskogee County,5.5,Muscogee
399,July,Mississippi,Covington County,6.5,Leonard Covington
400,August,Kansas,Kearny County,3.4,Philip Kearny
401,October,North Dakota,McLean County,2.2,
402,March,Texas,Comanche County,4.5,
403,July,Arizona,Greenlee County,7.9,
404,February,Wisconsin,Richland County,5.4,
405,November,Arkansas,Clark County,4.4,William A. Clark
406,March,Montana,Jefferson County,4.6,Thomas Jefferson
407,May,Virginia,Augusta County,4.2,Princess Augusta of Saxe-Gotha
408,April,Minnesota,Wright County,3.6,Silas Wright
409,February,Colorado,Summit County,2.7,
410,November,Maryland,Garrett County,6,John W. Garrett
411,February,Colorado,Garfield County,5.1,James A. Garfield
412,April,Illinois,Lee County,4.7,Robert E. Lee
413,January,Iowa,Webster County,5.3,Daniel Webster
